training,subset_size,fold,order_index,macro_f1
random-order trained,2,0,0,0.5496276063379794
random-order trained,2,0,1,0.5659518718817911
random-order trained,2,1,0,0.4327143478330503
random-order trained,2,1,1,0.437898028945405
random-order trained,2,2,0,0.4605326022347723
random-order trained,2,2,1,0.46166301010229516
random-order trained,3,0,0,0.6797173375160954
random-order trained,3,0,1,0.6792411977377373
random-order trained,3,0,2,0.6800503568881371
random-order trained,3,0,3,0.6825459812828302
random-order trained,3,0,4,0.6750723916720685
random-order trained,3,0,5,0.6758285180237815
random-order trained,3,1,0,0.6700962965828511
random-order trained,3,1,1,0.6701251404133132
random-order trained,3,1,2,0.6786811590537009
random-order trained,3,1,3,0.6826221246745925
random-order trained,3,1,4,0.6680077133766156
random-order trained,3,1,5,0.670928390224951
random-order trained,3,2,0,0.6340615650440202
random-order trained,3,2,1,0.6315149850373083
random-order trained,3,2,2,0.6385091319595688
random-order trained,3,2,3,0.6388072323737491
random-order trained,3,2,4,0.6312648254258535
random-order trained,3,2,5,0.6318052756609506
random-order trained,4,0,0,0.6684894523693499
random-order trained,4,0,1,0.6651423632215957
random-order trained,4,0,2,0.6684894523693499
random-order trained,4,0,3,0.670464208048372
random-order trained,4,0,4,0.6685181512904426
random-order trained,4,0,5,0.6717910597355022
random-order trained,4,0,6,0.6703002935810622
random-order trained,4,0,7,0.669342809567949
random-order trained,4,0,8,0.6696769095351467
random-order trained,4,0,9,0.6678438492254218
random-order trained,4,0,10,0.6692606731586221
random-order trained,4,0,11,0.6650808759337923
random-order trained,4,0,12,0.6634806913602789
random-order trained,4,0,13,0.6614741408974214
random-order trained,4,0,14,0.6619639105993615
random-order trained,4,0,15,0.6599398940758318
random-order trained,4,0,16,0.6634473356994948
random-order trained,4,0,17,0.6627220800287903
random-order trained,4,0,18,0.6670825430360579
random-order trained,4,0,19,0.6663774403039662
random-order trained,4,0,20,0.6692450032172308
random-order trained,4,0,21,0.6687070404150901
random-order trained,4,0,22,0.6643569226213321
random-order trained,4,0,23,0.666666103840176
random-order trained,4,1,0,0.6848494883317933
random-order trained,4,1,1,0.6857009170877784
random-order trained,4,1,2,0.6864560617781521
random-order trained,4,1,3,0.6864560617781521
random-order trained,4,1,4,0.6839495096360841
random-order trained,4,1,5,0.6882541364122662
random-order trained,4,1,6,0.6999402828859248
random-order trained,4,1,7,0.7016061347716593
random-order trained,4,1,8,0.7050371303076858
random-order trained,4,1,9,0.7028663976602263
random-order trained,4,1,10,0.7018821456917222
random-order trained,4,1,11,0.7028663976602263
random-order trained,4,1,12,0.6973516479636712
random-order trained,4,1,13,0.6980065502624168
random-order trained,4,1,14,0.700895906117005
random-order trained,4,1,15,0.7001059822421283
random-order trained,4,1,16,0.6979661780157103
random-order trained,4,1,17,0.6979661780157103
random-order trained,4,1,18,0.6921039764952817
random-order trained,4,1,19,0.687603277357793
random-order trained,4,1,20,0.698752139833233
random-order trained,4,1,21,0.6988289896109622
random-order trained,4,1,22,0.7002717361358632
random-order trained,4,1,23,0.7002533690797371
random-order trained,4,2,0,0.6389976821958995
random-order trained,4,2,1,0.6401723778657806
random-order trained,4,2,2,0.6359474735190002
random-order trained,4,2,3,0.6396244971441127
random-order trained,4,2,4,0.6385961574646206
random-order trained,4,2,5,0.6379162278323571
random-order trained,4,2,6,0.6417495222582041
random-order trained,4,2,7,0.6417495222582041
