class,n,mean_k,acc,freq_imu,freq_thm,freq_tof_1,freq_tof_2,freq_tof_3,freq_tof_4,freq_tof_5,std_imu,std_thm,std_tof_1,std_tof_2,std_tof_3,std_tof_4,std_tof_5
0,638,4.412,0.6426,0.9420,0.4655,0.5219,0.6207,0.8009,0.5564,0.5047,0.1017,0.4944,0.4345,0.5152,0.2081,0.4692,0.4884
1,637,4.969,0.4270,0.9859,0.6342,0.5510,0.6107,0.8681,0.6766,0.6421,0.0247,0.5527,0.3898,0.5068,0.1461,0.4968,0.5326
2,161,5.292,0.8075,1.0000,0.6398,0.6584,0.6708,0.9565,0.6273,0.7391,0.0000,0.4509,0.4230,0.3983,0.0748,0.4858,0.4097
3,638,5.016,0.2774,1.0000,0.6207,0.5470,0.6348,0.8871,0.6912,0.6348,0.0000,0.5393,0.4491,0.5055,0.1111,0.4513,0.5247
4,640,4.966,0.3047,0.9984,0.6016,0.5969,0.5969,0.8578,0.6641,0.6500,0.0027,0.5249,0.3874,0.5004,0.1412,0.5021,0.5386
5,161,4.739,0.8820,0.7640,0.7826,0.2236,0.5280,0.9814,0.6522,0.8075,0.4139,0.2494,0.1810,0.3442,0.0321,0.3246,0.2332
6,640,4.683,0.5891,0.9516,0.5109,0.4813,0.6531,0.8234,0.6828,0.5797,0.0844,0.4903,0.4702,0.5176,0.1606,0.3550,0.5081
7,640,5.064,0.5766,0.9984,0.6422,0.4844,0.6844,0.8391,0.7828,0.6328,0.0027,0.5605,0.4792,0.5239,0.2324,0.3359,0.5231
8,161,5.578,0.7888,1.0000,0.7578,0.7453,0.7329,0.9689,0.5714,0.8012,0.0000,0.2664,0.3392,0.3315,0.0283,0.3574,0.2539
9,640,4.855,0.3750,0.9969,0.6219,0.5922,0.5891,0.8391,0.6594,0.5563,0.0054,0.5417,0.4393,0.4905,0.1539,0.5038,0.4821
10,640,4.847,0.4672,1.0000,0.6312,0.6344,0.5484,0.8281,0.6687,0.5359,0.0000,0.5508,0.4553,0.4617,0.1698,0.5063,0.4704
11,161,5.696,0.2981,1.0000,0.7453,0.7826,0.7826,0.7453,0.6708,0.9689,0.0000,0.3910,0.3270,0.3270,0.4384,0.5667,0.0535
12,477,3.444,0.6897,0.9979,0.4256,0.4382,0.2998,0.7107,0.2851,0.2872,0.0036,0.4635,0.4529,0.2648,0.2710,0.2619,0.2437
13,161,5.714,0.3416,1.0000,0.7640,0.7516,0.8137,0.7516,0.6770,0.9565,0.0000,0.3590,0.3803,0.2738,0.4277,0.5399,0.0748
14,640,4.861,0.9062,1.0000,0.6562,0.6438,0.4984,0.7094,0.6984,0.6547,0.0000,0.5640,0.4101,0.4644,0.4931,0.5078,0.4747
15,478,4.732,0.6674,0.9958,0.6234,0.4603,0.6025,0.8222,0.5753,0.6527,0.0073,0.5430,0.4448,0.5238,0.2333,0.4986,0.5196
16,477,4.461,0.5786,0.9979,0.4696,0.5409,0.4654,0.9623,0.4654,0.5597,0.0036,0.4086,0.4248,0.4007,0.0596,0.3904,0.4722
17,161,5.758,0.3043,1.0000,0.7888,0.7888,0.8075,0.7205,0.6770,0.9752,0.0000,0.3635,0.3635,0.3314,0.4811,0.5560,0.0428
