class,n,mean_k,acc,freq_depth,freq_skeleton,freq_sensor_head,freq_sensor_torso,freq_sensor_rarm,freq_sensor_larm,freq_sensor_leg,std_depth,std_skeleton,std_sensor_head,std_sensor_torso,std_sensor_rarm,std_sensor_larm,std_sensor_leg
0,30,2.533,1.0000,1.0000,0.6333,0.3000,0.0000,0.3000,0.3000,0.0000,0.0000,0.5774,0.5774,0.0000,0.5774,0.5774,0.0000
1,30,2.533,0.9667,1.0000,0.6333,0.3000,0.0000,0.3000,0.3000,0.0000,0.0000,0.5774,0.5774,0.0000,0.5774,0.5774,0.0000
2,30,2.533,1.0000,1.0000,0.6333,0.3000,0.0000,0.3000,0.3000,0.0000,0.0000,0.5774,0.5774,0.0000,0.5774,0.5774,0.0000
3,30,3.133,0.9667,1.0000,0.6333,0.3000,0.3000,0.3000,0.3000,0.3000,0.0000,0.5774,0.5774,0.5774,0.5774,0.5774,0.5774
4,30,1.633,0.9333,1.0000,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000
5,30,1.633,0.9333,1.0000,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000
6,30,3.667,0.9667,1.0000,0.6333,0.4333,0.3333,0.4667,0.4667,0.3333,0.0000,0.5774,0.5092,0.5774,0.5010,0.5010,0.5774
7,30,3.567,0.8333,1.0000,0.6333,0.4000,0.3667,0.4000,0.4000,0.3667,0.0000,0.5774,0.3696,0.3542,0.3696,0.3696,0.3542
8,30,1.633,0.9333,1.0000,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000
9,29,3.034,0.9310,1.0000,0.6552,0.2759,0.2759,0.2759,0.2759,0.2759,0.0000,0.5774,0.5132,0.5132,0.5132,0.5132,0.5132
10,30,1.733,0.9000,1.0000,0.6333,0.0333,0.0000,0.0333,0.0333,0.0000,0.0000,0.5774,0.0642,0.0000,0.0642,0.0642,0.0000
11,30,2.033,1.0000,1.0000,0.6333,0.0667,0.0667,0.1333,0.0667,0.0667,0.0000,0.5774,0.1283,0.1283,0.2566,0.1283,0.1283
12,30,1.633,0.8333,1.0000,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000
13,30,1.633,0.8667,1.0000,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000
14,30,1.967,0.9333,1.0000,0.6333,0.1000,0.0000,0.1000,0.1000,0.0333,0.0000,0.5774,0.1925,0.0000,0.1925,0.1925,0.0642
15,30,1.633,0.9667,1.0000,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000
16,30,2.733,0.8667,1.0000,0.9333,0.2667,0.0000,0.2667,0.2667,0.0000,0.0000,0.1050,0.5132,0.0000,0.5132,0.5132,0.0000
17,30,3.133,0.6000,1.0000,0.6333,0.3000,0.3000,0.3000,0.3000,0.3000,0.0000,0.5774,0.5774,0.5774,0.5774,0.5774,0.5774
18,30,3.133,0.9667,1.0000,0.6333,0.3000,0.3000,0.3000,0.3000,0.3000,0.0000,0.5774,0.5774,0.5774,0.5774,0.5774,0.5774
19,30,2.833,0.8333,1.0000,0.6333,0.3000,0.3000,0.3000,0.3000,0.0000,0.0000,0.5774,0.5774,0.5774,0.5774,0.5774,0.0000
20,30,2.533,0.8667,1.0000,0.6333,0.3000,0.0000,0.3000,0.3000,0.0000,0.0000,0.5774,0.5774,0.0000,0.5774,0.5774,0.0000
21,30,2.533,0.8333,1.0000,0.6333,0.3000,0.0000,0.3000,0.3000,0.0000,0.0000,0.5774,0.5774,0.0000,0.5774,0.5774,0.0000
