class,n,mean_k,acc,freq_torso,freq_right_arm,freq_left_arm,freq_right_leg,freq_left_leg,std_torso,std_right_arm,std_left_arm,std_right_leg,std_left_leg
0,192,2.557,0.6979,0.8698,0.4219,0.5208,0.1823,0.5625,0.2604,0.2359,0.1726,0.1496,0.3975
1,192,2.880,0.6875,0.9062,0.5156,0.5573,0.2865,0.6146,0.1875,0.2904,0.2113,0.2948,0.3578
2,188,2.043,0.8404,0.8777,0.1915,0.3511,0.1489,0.4734,0.2447,0.1737,0.2852,0.1357,0.4437
3,188,2.585,0.6117,0.8830,0.3351,0.4894,0.2021,0.6755,0.2340,0.1953,0.1583,0.1351,0.2526
4,188,1.362,0.9787,0.7979,0.0851,0.0638,0.0160,0.3989,0.4043,0.0626,0.0626,0.0204,0.4160
5,192,1.641,0.9219,0.8646,0.1406,0.1562,0.0833,0.3958,0.2708,0.1795,0.1507,0.0900,0.4086
6,192,2.745,0.6823,0.8698,0.4167,0.3854,0.3229,0.7500,0.2604,0.1413,0.2509,0.3125,0.1800
7,188,2.378,0.6436,0.8404,0.3138,0.1968,0.2500,0.7766,0.3191,0.1183,0.0973,0.2234,0.2347
8,192,1.807,0.7760,0.7969,0.2865,0.1823,0.1042,0.4375,0.4062,0.2253,0.1447,0.0510,0.4459
9,192,1.807,0.6875,0.7865,0.2344,0.2188,0.0833,0.4844,0.4271,0.3260,0.3305,0.0851,0.4094
10,188,1.803,0.5904,0.8138,0.2181,0.2500,0.0851,0.4362,0.3723,0.0659,0.2006,0.0833,0.4157
11,192,1.297,0.9948,0.7500,0.0833,0.0521,0.0208,0.3906,0.5000,0.1128,0.0691,0.0241,0.4294
12,192,1.578,0.9427,0.7708,0.1406,0.1250,0.0208,0.5208,0.4583,0.1467,0.0851,0.0417,0.4429
13,192,1.312,0.9792,0.7500,0.0312,0.0729,0.0052,0.4531,0.5000,0.0496,0.1458,0.0104,0.4365
14,188,1.314,0.9521,0.8298,0.1064,0.0372,0.0266,0.3138,0.3404,0.1191,0.0611,0.0268,0.4617
15,192,1.286,0.8958,0.8542,0.0885,0.0104,0.0104,0.3229,0.2917,0.1277,0.0208,0.0208,0.4719
16,192,1.609,1.0000,0.7500,0.1042,0.1458,0.0000,0.6094,0.5000,0.0884,0.1493,0.0000,0.2863
17,192,2.167,0.8542,0.8021,0.2865,0.2917,0.2083,0.5781,0.3958,0.2604,0.2922,0.1726,0.3809
18,188,1.952,0.8936,0.8085,0.2340,0.1436,0.1383,0.6277,0.3830,0.1099,0.0472,0.1235,0.2782
