class,n,mean_k,acc,freq_infra1,freq_wifi,freq_mmwave,freq_lidar,freq_depth,std_infra1,std_wifi,std_mmwave,std_lidar,std_depth
0,22,1.500,1.0000,1.0000,0.0455,0.0909,0.0455,0.3182,0.0000,0.0825,0.1650,0.0825,0.5774
1,22,1.000,0.9545,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,22,1.000,0.9545,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,22,1.000,0.9545,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,22,1.227,0.9091,1.0000,0.0000,0.0000,0.0000,0.2273,0.0000,0.0000,0.0000,0.0000,0.4124
6,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,22,1.500,0.9091,1.0000,0.0909,0.0909,0.0909,0.2273,0.0000,0.1443,0.1443,0.1443,0.3608
10,22,1.000,0.9545,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,22,1.182,0.9545,1.0000,0.0455,0.0455,0.0455,0.0455,0.0000,0.0825,0.0825,0.0825,0.0825
12,22,1.000,0.9545,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,22,1.273,0.7727,1.0000,0.0000,0.0000,0.0000,0.2727,0.0000,0.0000,0.0000,0.0000,0.4330
17,22,1.000,0.9091,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,22,1.364,1.0000,1.0000,0.0000,0.0000,0.0000,0.3636,0.0000,0.0000,0.0000,0.0000,0.5774
19,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,22,1.136,0.9545,1.0000,0.0455,0.0455,0.0455,0.0000,0.0000,0.0722,0.0722,0.0722,0.0000
22,22,1.000,0.9091,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,22,1.000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,22,1.318,0.8636,1.0000,0.0000,0.0000,0.0000,0.3182,0.0000,0.0000,0.0000,0.0000,0.2903
