class,n,mean_k,acc,freq_skeleton,freq_inertial,freq_depth,freq_rgb,std_skeleton,std_inertial,std_depth,std_rgb
0,24,2.708,0.9583,0.1667,1.0000,0.8750,0.6667,0.2887,0.0000,0.2165,0.5774
1,24,2.333,0.9583,0.0000,1.0000,0.6667,0.6667,0.0000,0.0000,0.5774,0.5774
2,24,2.542,0.7500,0.0833,0.9583,0.8333,0.6667,0.0722,0.0722,0.2887,0.5774
3,24,2.292,1.0000,0.0000,1.0000,0.6250,0.6667,0.0000,0.0000,0.5449,0.5774
4,24,3.333,0.7500,0.7917,0.8750,1.0000,0.6667,0.3608,0.2165,0.0000,0.5774
5,24,2.375,1.0000,0.1250,0.7917,0.6667,0.7917,0.2165,0.3608,0.5774,0.3608
6,24,2.208,1.0000,0.1250,0.7083,0.7083,0.6667,0.2165,0.5052,0.2602,0.5774
7,23,2.435,1.0000,0.0000,1.0000,0.7391,0.6957,0.0000,0.0000,0.4330,0.5774
8,24,2.583,0.7083,0.2500,1.0000,0.6667,0.6667,0.2500,0.0000,0.5774,0.5774
9,24,2.500,0.9583,0.2917,1.0000,0.5417,0.6667,0.5052,0.0000,0.5052,0.5774
10,24,2.583,0.8750,0.3333,1.0000,0.5833,0.6667,0.4732,0.0000,0.5204,0.5774
11,24,1.917,1.0000,0.0000,0.7917,0.4583,0.6667,0.0000,0.3608,0.5052,0.5774
12,24,2.500,0.9167,0.0417,0.8333,0.8333,0.7917,0.0722,0.2887,0.2887,0.3608
13,24,2.208,1.0000,0.0833,0.6667,0.7500,0.7083,0.1443,0.5774,0.4330,0.5052
14,24,2.833,0.8333,0.1250,1.0000,0.8750,0.8333,0.2165,0.0000,0.2165,0.2887
15,24,2.333,1.0000,0.0000,1.0000,0.6667,0.6667,0.0000,0.0000,0.5774,0.5774
16,24,2.792,0.7083,0.0417,1.0000,1.0000,0.7500,0.0722,0.0000,0.0000,0.4330
17,24,2.250,1.0000,0.0417,0.9583,0.5833,0.6667,0.0722,0.0722,0.3819,0.5774
18,24,3.417,0.7500,0.8333,1.0000,0.8333,0.7500,0.2887,0.0000,0.1909,0.4330
19,24,3.500,0.6667,0.8333,1.0000,0.9583,0.7083,0.1909,0.0000,0.0722,0.5052
20,24,2.417,1.0000,0.0000,0.6667,0.7500,1.0000,0.0000,0.5774,0.4330,0.0000
21,24,2.292,0.9583,0.0000,0.9583,0.6667,0.6667,0.0000,0.0722,0.5774,0.5774
22,24,2.792,0.9583,0.1250,1.0000,0.6667,1.0000,0.1250,0.0000,0.5774,0.0000
23,24,2.375,1.0000,0.3750,1.0000,0.3333,0.6667,0.5449,0.0000,0.5774,0.5774
24,24,2.000,1.0000,0.0000,1.0000,0.3333,0.6667,0.0000,0.0000,0.5774,0.5774
25,24,2.375,1.0000,0.0417,1.0000,0.6667,0.6667,0.0722,0.0000,0.5774,0.5774
26,23,2.652,1.0000,0.3478,0.9130,0.3913,1.0000,0.5774,0.1650,0.5408,0.0000
