param,value,f1_order_averaged,f1_std_folds,std_across_orders_pts,f1_canonical,deployed
lambda_DS,0.0,0.6721,0.0145,0.44,0.6652,
lambda_DS,0.25,0.6734,0.0181,0.51,0.6671,
lambda_DS,0.5,0.6455,0.0124,0.52,0.6422,
lambda_DS,1.0,0.6748,0.0160,0.53,0.6680,yes
lambda_DS,2.0,0.6459,0.0151,0.71,0.6374,
lambda_DS,4.0,0.6528,0.0215,0.74,0.6442,
lambda_KD,0.0,0.6421,0.0204,0.61,0.6315,
lambda_KD,0.25,0.6461,0.0109,0.79,0.6395,
lambda_KD,0.5,0.6748,0.0160,0.53,0.6680,yes
lambda_KD,1.0,0.6546,0.0163,0.54,0.6488,
lambda_KD,2.0,0.6572,0.0165,0.56,0.6511,
lambda_KD,4.0,0.6561,0.0152,0.38,0.6497,
K,4,0.6611,0.0216,0.38,0.6593,
K,8,0.6606,0.0406,0.31,0.6598,
K,16,0.6748,0.0160,0.53,0.6680,yes
K,32,0.6401,0.0177,0.65,0.6346,
