method,missingness,f1,mu,gflops
Vanilla MBT (R),0,0.636,1,0.407
Vanilla MBT (R),0.2,0.597,1,0.407
Vanilla MBT (R),0.4,0.545,1,0.407
MAESTRO (R),0,0.509,1,0.228
MAESTRO (R),0.2,0.422,1,0.228
MAESTRO (R),0.4,0.360,1,0.228
ShaSpec (R),0,0.614,1,1.509
ShaSpec (R),0.2,0.564,1,1.509
ShaSpec (R),0.4,0.509,1,1.509
DecALign (R),0,0.481,1,11.406
DecALign (R),0.2,0.445,1,11.406
DecALign (R),0.4,0.419,1,11.406
"MultiModN (R, best static order)",0,0.583,1,0.755
"MultiModN (R, best static order)",0.2,0.545,1,0.755
"MultiModN (R, best static order)",0.4,0.507,1,0.755
DyMo (E),0,0.558,0.316,0.483
DyMo (E),0.2,0.528,0.307,0.481
DyMo (E),0.4,0.492,0.290,0.478
AdaMML (E),0,0.595,0.500,0.202
AdaMML (E),0.2,0.554,0.401,0.205
AdaMML (E),0.4,0.503,0.304,0.216
DyMM (E),0,0.620,0.798,1.778
DyMM (E),0.2,0.556,0.811,1.806
DyMM (E),0.4,0.482,0.841,1.871
MMEE,0,0.609,1,0.385
MMEE,0.2,0.563,1,0.403
MMEE,0.4,0.511,1,0.425
Ours,0,0.668,0.558,0.244
Ours,0.2,0.611,0.417,0.183
Ours,0.4,0.562,0.307,0.135
Ours w/o RL,0,0.673,1,0.430
Ours w/o RL,0.2,0.636,1,0.344
Ours w/o RL,0.4,0.578,1,0.261
